Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C54,1uF,C_0603_1608Metric,57.5125,135.9,0,top
C55,33pF,C_0603_1608Metric,39.7875,149.3,180,top
C56,4.7uF,C_0805_2012Metric,38.1,137.2375,270,top
C57,10uF,C_0805_2012Metric,63.1,139.1,270,top
C58,1uF,C_0603_1608Metric,60.6,139.1,270,top
C59,22uF,C_0805_2012Metric,46.5375,136.2,180,top
C60,330uF,CP_Elec_10x10,66.3,130.2,270,top
C61,100uF,CP_EIA-3528-21_Kemet-B,45.9,125.8,0,top
C62,1n5,C_0805_2012Metric,80.4,120.3375,270,top
C63,100uF,CP_EIA-3528-21_Kemet-B,45.9,115.6,0,top
C64,100uF,CP_EIA-3528-21_Kemet-B,56.3,115.7,180,top
C65,100uF,CP_EIA-3528-21_Kemet-B,56.4,125.7,180,top
C66,330uF,CP_Elec_10x10,82.9,131.9,0,top
C67,1uF,C_0603_1608Metric,112.9,7.8,270,top
C68,1uF,C_0603_1608Metric,51,8.6,270,top
C69,1nF,C_0603_1608Metric,117.3,123.9,90,top
C70,1nF,C_0603_1608Metric,116.4,130.2,90,top
C71,1nF,C_0603_1608Metric,102.9,115.8,180,top
C72,1nF,C_0603_1608Metric,97.5,115.9,180,top
